id	rank	name	parentid	childcount	min	max	mode	median	mean	stddev	sum16slist
2962	genus	Lactobacillus	3459	54	4	9	5	5.0	5.30	1.31	[5, 6, 7, 7, 9, 5, 5, 6, 9, 6, 4, 5, 5, 6, 5, 5, 5, 4, 4, 5, 5, 9, 4, 4, 5, 4, 6, 6, 7, 4, 9, 5, 4, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 6, 5, 5, 5, 4, 6, 5, 4, 4, 5]
2963	genus	Colwellia	3542	1	9	9	9	9	9.00	0.00	[9]
2964	genus	Sulfuricurvum	3379	2	3	4		3.5	3.50	0.50	[3, 4]
2965	genus	Acidobacterium	3753	1	1	1	1	1	1.00	0.00	[1]
2966	genus	GpIIa	3543	17	1	2	1	1	1.41	0.49	[1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2]
2967	genus	Zunongwangia	3376	1	3	3	3	3	3.00	0.00	[3]
2968	genus	Micromonospora	3501	1	3	3	3	3	3.00	0.00	[3]
2969	genus	Granulibacter	3328	4	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3]
2970	genus	Herpetosiphon	3377	1	5	5	5	5	5.00	0.00	[5]
2971	genus	Thalassolituus	3408	2	4	4	4	4.0	4.00	0.00	[4, 4]
2972	genus	Sulfurospirillum	3323	2	2	3		2.5	2.50	0.50	[3, 2]
2973	genus	Halopiger	3570	1	3	3	3	3	3.00	0.00	[3]
2974	genus	Caulobacter	3524	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
2975	genus	Rhodopseudomonas	3440	6	1	2	2	2.0	1.83	0.37	[1, 2, 2, 2, 2, 2]
2976	genus	Thermus	3526	7	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2]
2977	genus	Cronobacter	3537	5	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7]
2978	genus	Flavobacterium	3376	7	3	6	6	6	5.14	1.12	[6, 3, 5, 4, 6, 6, 6]
2979	genus	Pseudogulbenkiania	3510	1	8	8	8	8	8.00	0.00	[8]
2980	genus	Rothia	3385	1	3	3	3	3	3.00	0.00	[3]
2981	genus	Natranaerobius	3392	1	4	4	4	4	4.00	0.00	[4]
2982	genus	Moorella	3359	1	1	1	1	1	1.00	0.00	[1]
2983	genus	Xylanimonas	3574	1	3	3	3	3	3.00	0.00	[3]
2984	genus	Proteus	3537	1	7	7	7	7	7.00	0.00	[7]
2985	genus	Desulfohalobium	3346	1	2	2	2	2	2.00	0.00	[2]
2986	genus	Caedibacter	3411	1	1	1	1	1	1.00	0.00	[1]
2987	genus	Listeria	3507	45	4	6	6	6	5.84	0.42	[6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 4, 5, 6, 6, 6, 6, 6, 6]
2988	genus	Halobacterium	3396	2	1	1	1	1.0	1.00	0.00	[1, 1]
2989	genus	Dokdonia	3376	2	3	3	3	3.0	3.00	0.00	[3, 3]
2990	genus	Hyphomicrobium	3378	3	1	1	1	1	1.00	0.00	[1, 1, 1]
2991	genus	Oligotropha	3440	3	1	1	1	1	1.00	0.00	[1, 1, 1]
2992	genus	Haloterrigena	3570	2	3	3	3	3.0	3.00	0.00	[3, 3]
2993	genus	Tolumonas	3523	1	8	8	8	8	8.00	0.00	[8]
2994	genus	Halorhabdus	3396	2	1	1	1	1.0	1.00	0.00	[1, 1]
2995	genus	Desulfobacca	3471	1	1	1	1	1	1.00	0.00	[1]
2996	genus	Macrococcus	3461	1	4	4	4	4	4.00	0.00	[4]
2997	genus	Chelativorans	3416	1	2	2	2	2	2.00	0.00	[2]
2998	genus	Kyrpidia	3402	1	5	5	5	5	5.00	0.00	[5]
2999	genus	Anoxybacillus	3427	1	8	8	8	8	8.00	0.00	[8]
3000	genus	Desulfotalea	3438	1	7	7	7	7	7.00	0.00	[7]
3001	genus	Aequorivita	3376	1	2	2	2	2	2.00	0.00	[2]
3002	genus	Sorangium	3521	1	4	4	4	4	4.00	0.00	[4]
3003	genus	Methylocella	3463	1	2	2	2	2	2.00	0.00	[2]
3004	genus	Aliivibrio	3554	2	12	12	12	12.0	12.00	0.00	[12, 12]
3005	genus	Chlorobium	3490	7	1	3	2	2	1.86	0.64	[1, 2, 2, 1, 2, 3, 2]
3006	genus	Leifsonia	3485	2	1	1	1	1.0	1.00	0.00	[1, 1]
3007	genus	Syntrophus	3471	1	1	1	1	1	1.00	0.00	[1]
3008	genus	Acetobacterium	3390	1	5	5	5	5	5.00	0.00	[5]
3009	genus	Amycolicicoccus	3527	1	3	3	3	3	3.00	0.00	[3]
3010	genus	Orientia	3533	3	1	1	1	1	1.00	0.00	[1, 1, 1]
3011	genus	Candidatus Koribacter	3753	1	1	1	1	1	1.00	0.00	[1]
3012	genus	Thermovibrio	3484	1	3	3	3	3	3.00	0.00	[3]
3013	genus	Octadecabacter	3558	2	2	2	2	2.0	2.00	0.00	[2, 2]
3014	genus	Rhizobium	3475	14	3	5	3	3.0	3.36	0.61	[4, 3, 3, 3, 3, 3, 4, 3, 5, 3, 3, 4, 3, 3]
3015	genus	Hydrogenobacter	3433	2	1	1	1	1.0	1.00	0.00	[1, 1]
3016	genus	Persicivirga	3376	1	2	2	2	2	2.00	0.00	[2]
3017	genus	Citrobacter	3537	2	7	8		7.5	7.50	0.50	[7, 8]
3018	genus	Fervidobacterium	3422	1	2	2	2	2	2.00	0.00	[2]
3019	genus	Tannerella	3480	1	2	2	2	2	2.00	0.00	[2]
3020	genus	Ruminococcus2	3444	1	1	1	1	1	1.00	0.00	[1]
3021	genus	Nitrosospira	3516	3	1	1	1	1	1.00	0.00	[1, 1, 1]
3022	genus	Adlercreutzia	3431	1	2	2	2	2	2.00	0.00	[2]
3023	genus	Saccharibacteria_genera_incertae_sedis	3779	3	1	1	1	1	1.00	0.00	[1, 1, 1]
3024	genus	Acinetobacter	3432	13	6	7	6	6	6.08	0.27	[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
3025	genus	Actinoplanes	3501	4	3	6	6	5.0	4.75	1.30	[6, 6, 4, 3]
3026	genus	Methanoplanus	3458	1	2	2	2	2	2.00	0.00	[2]
3027	genus	Trueperella	3430	1	2	2	2	2	2.00	0.00	[2]
3028	genus	Pseudovibrio	3558	1	6	6	6	6	6.00	0.00	[6]
3029	genus	Streptosporangium	3374	1	6	6	6	6	6.00	0.00	[6]
3030	genus	Collimonas	3352	1	3	3	3	3	3.00	0.00	[3]
3031	genus	Shewanella	3573	24	8	14	10	9.5	9.50	1.41	[9, 8, 9, 9, 9, 9, 8, 8, 10, 8, 8, 10, 12, 11, 10, 10, 10, 8, 10, 14, 10, 10, 10, 8]
3032	genus	Halothiobacillus	3565	1	2	2	2	2	2.00	0.00	[2]
3033	genus	Glaciecola	3412	4	4	6	5	5.0	5.00	0.71	[5, 5, 4, 6]
3034	genus	SR1_genera_incertae_sedis	3788	1	1	1	1	1	1.00	0.00	[1]
3035	genus	Candidatus Endomicrobium	3749	1	1	1	1	1	1.00	0.00	[1]
3036	genus	Riemerella	3376	5	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3]
3037	genus	Haliangium	3400	1	2	2	2	2	2.00	0.00	[2]
3038	genus	Prosthecochloris	3490	2	1	2		1.5	1.50	0.50	[2, 1]
3039	genus	Mycoplasma	3331	48	1	2	1	1.0	1.44	0.50	[1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1]
3040	genus	Niastella	3494	1	3	3	3	3	3.00	0.00	[3]
3041	genus	Ferribacterium	3426	1	4	4	4	4	4.00	0.00	[4]
3042	genus	Acidiphilium	3328	2	2	2	2	2.0	2.00	0.00	[2, 2]
3043	genus	Zymomonas	3468	7	2	3	3	3	2.71	0.45	[3, 3, 3, 2, 3, 2, 3]
3044	genus	Brachybacterium	3329	1	3	3	3	3	3.00	0.00	[3]
3045	genus	Fibrobacter	3335	2	3	3	3	3.0	3.00	0.00	[3, 3]
3046	genus	Ignisphaera	3457	1	1	1	1	1	1.00	0.00	[1]
3047	genus	Novosphingobium	3468	3	1	3	3	3	2.33	0.94	[3, 3, 1]
3048	genus	Rhodobacter	3558	5	3	4	4	4	3.80	0.40	[3, 4, 4, 4, 4]
3049	genus	Thermincola	3332	1	3	3	3	3	3.00	0.00	[3]
3050	genus	Porphyromonas	3480	4	2	4	4	4.0	3.50	0.87	[4, 4, 2, 4]
3051	genus	Acholeplasma	3443	7	2	4	2	2	2.29	0.70	[2, 2, 2, 2, 2, 4, 2]
3052	genus	Azotobacter	3367	2	6	6	6	6.0	6.00	0.00	[6, 6]
3053	genus	Sanguibacter	3517	1	4	4	4	4	4.00	0.00	[4]
3054	genus	Microlunatus	3567	1	1	1	1	1	1.00	0.00	[1]
3055	genus	Ochrobactrum	3362	1	4	4	4	4	4.00	0.00	[4]
3056	genus	Shimwellia	3537	1	8	8	8	8	8.00	0.00	[8]
3057	genus	Methanocaldococcus	3464	5	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2]
3058	genus	Arthrobacter	3385	6	4	6	6	5.5	5.33	0.75	[5, 6, 5, 6, 4, 6]
3059	genus	Exiguobacterium	3549	4	9	9	9	9.0	9.00	0.00	[9, 9, 9, 9]
3060	genus	Carnobacterium	3358	3	6	8	8	8	7.33	0.94	[8, 6, 8]
3061	genus	Halobacteroides	3363	1	5	5	5	5	5.00	0.00	[5]
3062	genus	Nitrospira	3375	1	1	1	1	1	1.00	0.00	[1]
3063	genus	Modestobacter	3472	1	3	3	3	3	3.00	0.00	[3]
3064	genus	Chitinophaga	3494	1	6	6	6	6	6.00	0.00	[6]
3065	genus	Amycolatopsis	3429	7	3	4	4	4	3.86	0.35	[4, 4, 4, 4, 4, 4, 3]
3066	genus	Clostridium XII	3563	1	6	6	6	6	6.00	0.00	[6]
3067	genus	Gemmatimonas	3495	1	1	1	1	1	1.00	0.00	[1]
3068	genus	Selenomonas	3448	2	4	7		5.5	5.50	1.50	[4, 7]
3069	genus	Planococcus	3535	1	8	8	8	8	8.00	0.00	[8]
3070	genus	Psychroflexus	3376	1	3	3	3	3	3.00	0.00	[3]
3071	genus	Streptobacillus	3513	1	5	5	5	5	5.00	0.00	[5]
3072	genus	Photorhabdus	3537	2	7	7	7	7.0	7.00	0.00	[7, 7]
3073	genus	Haloquadratum	3405	2	2	2	2	2.0	2.00	0.00	[2, 2]
3074	genus	Thermocrinis	3433	1	1	1	1	1	1.00	0.00	[1]
3075	genus	Pseudomonas	3367	70	4	7	4	5.0	5.01	1.09	[4, 7, 5, 5, 5, 5, 6, 7, 4, 4, 4, 6, 4, 7, 7, 4, 5, 5, 4, 4, 6, 4, 5, 4, 4, 7, 4, 6, 4, 4, 6, 4, 7, 7, 4, 5, 5, 4, 5, 7, 5, 4, 7, 4, 4, 4, 5, 4, 4, 6, 6, 6, 5, 4, 4, 4, 4, 4, 4, 5, 5, 6, 7, 6, 5, 6, 6, 4, 4, 5]
3076	genus	Acidilobus	3401	1	1	1	1	1	1.00	0.00	[1]
3077	genus	Cupriavidus	3562	5	4	6	5	5	5.00	0.63	[6, 4, 5, 5, 5]
3078	genus	Haliscomenobacter	3369	1	2	2	2	2	2.00	0.00	[2]
3079	genus	Methanopyrus	3322	1	1	1	1	1	1.00	0.00	[1]
3080	genus	Alistipes	3370	2	1	2		1.5	1.50	0.50	[2, 1]
3081	genus	Brenneria	3537	1	7	7	7	7	7.00	0.00	[7]
3082	genus	Thermanaerovibrio	3344	1	3	3	3	3	3.00	0.00	[3]
3083	genus	Sideroxydans	3387	1	2	2	2	2	2.00	0.00	[2]
3084	genus	Erysipelotrichaceae_incertae_sedis	3515	1	1	1	1	1	1.00	0.00	[1]
3085	genus	Sulfurimonas	3379	2	4	4	4	4.0	4.00	0.00	[4, 4]
3086	genus	Thiocystis	3334	1	3	3	3	3	3.00	0.00	[3]
3087	genus	Methylococcus	3482	1	2	2	2	2	2.00	0.00	[2]
3088	genus	Kytococcus	3520	1	2	2	2	2	2.00	0.00	[2]
3089	genus	Thermobifida	3538	1	4	4	4	4	4.00	0.00	[4]
3090	genus	Salmonella	3537	38	5	8	7	7.0	6.97	0.36	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 5, 7]
3091	genus	Rubinisphaera	3488	1	2	2	2	2	2.00	0.00	[2]
3092	genus	GpVII	3320	2	3	3	3	3.0	3.00	0.00	[3, 3]
3093	genus	Marivirga	3525	1	2	2	2	2	2.00	0.00	[2]
3094	genus	Ferrimonas	3514	1	7	7	7	7	7.00	0.00	[7]
3095	genus	Truepera	3460	1	2	2	2	2	2.00	0.00	[2]
3096	genus	Thermodesulfatator	3384	1	2	2	2	2	2.00	0.00	[2]
3097	genus	Pyrolobus	3548	1	1	1	1	1	1.00	0.00	[1]
3098	genus	Prevotella	3342	5	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4]
3099	genus	Thalassobaculum	3568	1	1	1	1	1	1.00	0.00	[1]
3100	genus	Ruminococcus	3531	3	1	4	4	4	3.00	1.41	[4, 1, 4]
3101	genus	Bartonella	3414	10	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
3102	genus	Filifactor	3465	1	4	4	4	4	4.00	0.00	[4]
3103	genus	Methanocorpusculum	3325	1	3	3	3	3	3.00	0.00	[3]
3104	genus	Hahella	3361	1	5	5	5	5	5.00	0.00	[5]
3105	genus	Dickeya	3537	5	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7]
3106	genus	Methanocella	3575	3	2	3	2	2	2.33	0.47	[3, 2, 2]
3107	genus	Methanoregula	3445	2	1	1	1	1.0	1.00	0.00	[1, 1]
3108	genus	Granulicella	3753	2	1	1	1	1.0	1.00	0.00	[1, 1]
3109	genus	Enterobacter	3537	17	7	8	8	8	7.88	0.32	[8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8]
3110	genus	Lactococcus	3368	13	5	6	6	6	5.85	0.36	[6, 6, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6]
3111	genus	Desulfurivibrio	3438	1	2	2	2	2	2.00	0.00	[2]
3112	genus	Taylorella	3439	3	3	3	3	3	3.00	0.00	[3, 3, 3]
3113	genus	Rhodocista	3568	1	4	4	4	4	4.00	0.00	[4]
3114	genus	Halostagnicola	3570	1	2	2	2	2	2.00	0.00	[2]
3115	genus	Eggerthella	3431	1	3	3	3	3	3.00	0.00	[3]
3116	genus	Caldisphaera	3343	1	1	1	1	1	1.00	0.00	[1]
3117	genus	Hydrogenobaculum	3433	3	2	2	2	2	2.00	0.00	[2, 2, 2]
3118	genus	Pirellula	3488	1	1	1	1	1	1.00	0.00	[1]
3119	genus	Bifidobacterium	3424	36	2	5	4	4.0	3.36	0.85	[4, 5, 4, 4, 2, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 2, 4, 4, 2, 2, 2, 2, 2, 3]
3120	genus	Alicyclobacillus	3402	2	6	6	6	6.0	6.00	0.00	[6, 6]
3121	genus	Halogeometricum	3405	1	2	2	2	2	2.00	0.00	[2]
3122	genus	Acetohalobium	3363	1	5	5	5	5	5.00	0.00	[5]
3123	genus	Methylophaga	3509	2	3	3	3	3.0	3.00	0.00	[3, 3]
3124	genus	Owenweeksia	3462	1	2	2	2	2	2.00	0.00	[2]
3125	genus	Thermodesulfobium	3491	1	2	2	2	2	2.00	0.00	[2]
3126	genus	Serratia	3537	9	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7]
3127	genus	Salinibacter	3326	1	1	1	1	1	1.00	0.00	[1]
3128	genus	Basfia	3512	1	6	6	6	6	6.00	0.00	[6]
3129	genus	Halorhodospira	3446	1	2	2	2	2	2.00	0.00	[2]
3130	genus	GpXIII	3437	3	2	3	2	2	2.33	0.47	[3, 2, 2]
3131	genus	Methylomicrobium	3482	1	3	3	3	3	3.00	0.00	[3]
3132	genus	Maribacter	3376	1	2	2	2	2	2.00	0.00	[2]
3133	genus	Parvibaculum	3330	1	1	1	1	1	1.00	0.00	[1]
3134	genus	Gallionella	3387	1	3	3	3	3	3.00	0.00	[3]
3135	genus	Azorhizobium	3341	1	3	3	3	3	3.00	0.00	[3]
3136	genus	Halobacillus	3382	1	7	7	7	7	7.00	0.00	[7]
3137	genus	Gallibacterium	3512	1	6	6	6	6	6.00	0.00	[6]
3138	genus	Hallella	3342	1	5	5	5	5	5.00	0.00	[5]
3139	genus	Propionivibrio	3426	1	2	2	2	2	2.00	0.00	[2]
3140	genus	Laribacter	3510	1	7	7	7	7	7.00	0.00	[7]
3141	genus	Methanothermobacter	3496	2	2	2	2	2.0	2.00	0.00	[2, 2]
3142	genus	Roseburia	3444	2	1	4		2.5	2.50	1.50	[4, 1]
3143	genus	Catenulispora	3492	1	3	3	3	3	3.00	0.00	[3]
3144	genus	Methanohalobium	3451	1	2	2	2	2	2.00	0.00	[2]
3145	genus	Leuconostoc	3540	9	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4, 4]
3146	genus	Microbacterium	3485	1	2	2	2	2	2.00	0.00	[2]
3147	genus	Stenotrophomonas	3561	4	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4]
3148	genus	Bordetella	3439	13	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
3149	genus	Desulfurispirillum	3481	1	3	3	3	3	3.00	0.00	[3]
3150	genus	Providencia	3537	1	7	7	7	7	7.00	0.00	[7]
3151	genus	Parabacteroides	3480	1	7	7	7	7	7.00	0.00	[7]
3152	genus	Kineococcus	3518	1	4	4	4	4	4.00	0.00	[4]
3153	genus	Clostridium XI	3465	2	10	11		10.5	10.50	0.50	[11, 10]
3154	genus	Methylovorus	3467	2	2	2	2	2.0	2.00	0.00	[2, 2]
3155	genus	Methanosphaerula	3445	1	3	3	3	3	3.00	0.00	[3]
3156	genus	Sulfobacillus	3550	2	5	5	5	5.0	5.00	0.00	[5, 5]
3157	genus	Saprospira	3369	1	3	3	3	3	3.00	0.00	[3]
3158	genus	Ferroglobus	3398	1	1	1	1	1	1.00	0.00	[1]
3159	genus	Azoarcus	3426	3	4	5	4	4	4.33	0.47	[4, 4, 5]
3160	genus	Methanothermococcus	3348	1	2	2	2	2	2.00	0.00	[2]
3161	genus	Amphibacillus	3382	1	6	6	6	6	6.00	0.00	[6]
3162	genus	Akkermansia	3544	1	3	3	3	3	3.00	0.00	[3]
3163	genus	Thermofilum	3547	2	1	1	1	1.0	1.00	0.00	[1, 1]
3164	genus	Pelotomaculum	3349	1	2	2	2	2	2.00	0.00	[2]
3165	genus	Acidithiobacillus	3395	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
3166	genus	Alkalilimnicola	3446	1	2	2	2	2	2.00	0.00	[2]
3167	genus	Coriobacterium	3431	1	2	2	2	2	2.00	0.00	[2]
3168	genus	Archaeoglobus	3398	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
3169	genus	Methylocystis	3351	1	1	1	1	1	1.00	0.00	[1]
3170	genus	Saccharophagus	3412	1	2	2	2	2	2.00	0.00	[2]
3171	genus	Helicobacter	3379	56	1	2	2	2.0	1.93	0.26	[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
3172	genus	Thermaerobacter	3550	1	2	2	2	2	2.00	0.00	[2]
3173	genus	Verminephrobacter	3449	1	3	3	3	3	3.00	0.00	[3]
3174	genus	Pyrobaculum	3497	7	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1]
3175	genus	Caldanaerobacter	3359	1	4	4	4	4	4.00	0.00	[4]
3176	genus	Rikenella	3370	2	2	3		2.5	2.50	0.50	[3, 2]
3177	genus	Belliella	3383	1	4	4	4	4	4.00	0.00	[4]
3178	genus	Halanaerobium	3559	2	4	4	4	4.0	4.00	0.00	[4, 4]
3179	genus	Opitutus	3386	1	1	1	1	1	1.00	0.00	[1]
3180	genus	Roseobacter	3558	2	1	1	1	1.0	1.00	0.00	[1, 1]
3181	genus	GpIIb	3543	2	2	2	2	2.0	2.00	0.00	[2, 2]
3182	genus	GpXI	3487	1	2	2	2	2	2.00	0.00	[2]
3183	genus	Moraxella	3432	2	4	4	4	4.0	4.00	0.00	[4, 4]
3184	genus	Chloroflexus	3425	3	3	3	3	3	3.00	0.00	[3, 3, 3]
3185	genus	Thermovirga	3344	1	3	3	3	3	3.00	0.00	[3]
3186	genus	Ureaplasma	3331	3	2	2	2	2	2.00	0.00	[2, 2, 2]
3187	genus	Thioalkalimicrobium	3509	1	2	2	2	2	2.00	0.00	[2]
3188	genus	Thermococcus	3394	12	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3189	genus	Nocardia	3564	4	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3]
3190	genus	Marinomonas	3408	3	7	8	8	8	7.67	0.47	[8, 7, 8]
3191	genus	Methanosarcina	3451	4	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3]
3192	genus	Staphylothermus	3457	2	1	1	1	1.0	1.00	0.00	[1, 1]
3193	genus	Olsenella	3431	1	1	1	1	1	1.00	0.00	[1]
3194	genus	Thermoanaerobacterium	3504	3	5	5	5	5	5.00	0.00	[5, 5, 5]
3195	genus	Aeromonas	3523	7	9	10	10	10	9.86	0.35	[10, 9, 10, 10, 10, 10, 10]
3196	genus	Ornithobacterium	3376	1	3	3	3	3	3.00	0.00	[3]
3197	genus	Leptospira	3454	7	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2]
3198	genus	Acidovorax	3449	3	3	3	3	3	3.00	0.00	[3, 3, 3]
3199	genus	Elizabethkingia	3376	1	5	5	5	5	5.00	0.00	[5]
3200	genus	Myxococcus	3436	1	4	4	4	4	4.00	0.00	[4]
3201	genus	Finegoldia	3336	1	4	4	4	4	4.00	0.00	[4]
3202	genus	Sebaldella	3513	1	4	4	4	4	4.00	0.00	[4]
3203	genus	Natronomonas	3396	2	1	1	1	1.0	1.00	0.00	[1, 1]
3204	genus	Mesorhizobium	3416	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
3205	genus	Ammonifex	3359	1	2	2	2	2	2.00	0.00	[2]
3206	genus	Thermosphaera	3457	1	1	1	1	1	1.00	0.00	[1]
3207	genus	Erwinia	3537	8	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7]
3208	genus	Mahella	3503	1	3	3	3	3	3.00	0.00	[3]
3209	genus	Leisingera	3558	1	5	5	5	5	5.00	0.00	[5]
3210	genus	Arcanobacterium	3430	1	4	4	4	4	4.00	0.00	[4]
3211	genus	Heliobacterium	3477	1	8	8	8	8	8.00	0.00	[8]
3212	genus	Legionella	3355	10	3	4	3	3.0	3.10	0.30	[3, 3, 3, 3, 4, 3, 3, 3, 3, 3]
3213	genus	Ramlibacter	3449	1	1	1	1	1	1.00	0.00	[1]
3214	genus	Beijerinckia	3463	1	3	3	3	3	3.00	0.00	[3]
3215	genus	Geobacter	3566	9	2	4	2	2	2.67	0.94	[2, 2, 2, 2, 4, 2, 4, 4, 2]
3216	genus	Pantoea	3537	5	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7]
3217	genus	Atopobium	3431	1	1	1	1	1	1.00	0.00	[1]
3218	genus	Tepidanaerobacter	3504	1	2	2	2	2	2.00	0.00	[2]
3219	genus	Psychromonas	3423	2	10	10	10	10.0	10.00	0.00	[10, 10]
3220	genus	Caldivirga	3497	1	1	1	1	1	1.00	0.00	[1]
3221	genus	Marinitoga	3422	1	3	3	3	3	3.00	0.00	[3]
3222	genus	Muricauda	3376	1	2	2	2	2	2.00	0.00	[2]
3223	genus	Rhodococcus	3564	7	4	5	4	4	4.14	0.35	[4, 5, 4, 4, 4, 4, 4]
3224	genus	Clostridium sensu stricto	3447	30	6	14	9	9.0	9.43	1.61	[11, 10, 6, 8, 10, 10, 9, 14, 9, 7, 8, 8, 9, 9, 11, 11, 7, 9, 9, 9, 10, 11, 11, 9, 9, 11, 9, 12, 9, 8]
3225	genus	Borrelia	3479	10	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3226	genus	Sphaerobacter	3552	1	2	2	2	2	2.00	0.00	[2]
3227	genus	Dictyoglomus	3466	2	2	2	2	2.0	2.00	0.00	[2, 2]
3228	genus	Blastococcus	3472	1	3	3	3	3	3.00	0.00	[3]
3229	genus	Halomicrobium	3396	1	3	3	3	3	3.00	0.00	[3]
3230	genus	Albidiferax	3449	2	2	2	2	2.0	2.00	0.00	[2, 2]
3231	genus	Ferroplasma	3506	1	1	1	1	1	1.00	0.00	[1]
3232	genus	Rickettsia	3533	42	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3233	genus	Roseiflexus	3425	2	2	2	2	2.0	2.00	0.00	[2, 2]
3234	genus	Methanotorris	3464	1	2	2	2	2	2.00	0.00	[2]
3235	genus	Paracoccus	3558	2	3	4		3.5	3.50	0.50	[3, 4]
3236	genus	Sphaerochaeta	3479	2	4	4	4	4.0	4.00	0.00	[4, 4]
3237	genus	Kangiella	3528	1	2	2	2	2	2.00	0.00	[2]
3238	genus	Leptotrichia	3513	1	5	5	5	5	5.00	0.00	[5]
3239	genus	Segniliparus	3339	1	1	1	1	1	1.00	0.00	[1]
3240	genus	Chloroherpeton	3490	1	1	1	1	1	1.00	0.00	[1]
3241	genus	Gardnerella	3424	3	2	2	2	2	2.00	0.00	[2, 2, 2]
3242	genus	Jonesia	3500	1	5	5	5	5	5.00	0.00	[5]
3243	genus	Allochromatium	3334	1	3	3	3	3	3.00	0.00	[3]
3244	genus	Symbiobacterium	3434	1	6	6	6	6	6.00	0.00	[6]
3245	genus	Kutzneria	3429	1	3	3	3	3	3.00	0.00	[3]
3246	genus	Dehalogenimonas	3747	1	1	1	1	1	1.00	0.00	[1]
3247	genus	Methanosphaera	3496	1	4	4	4	4	4.00	0.00	[4]
3248	genus	Methanomethylovorans	3451	1	2	2	2	2	2.00	0.00	[2]
3249	genus	Chryseobacterium	3376	1	2	2	2	2	2.00	0.00	[2]
3250	genus	Actinosynnema	3429	1	5	5	5	5	5.00	0.00	[5]
3251	genus	Comamonas	3449	2	3	9		6.0	6.00	3.00	[3, 9]
3252	genus	Kosmotoga	3422	2	2	2	2	2.0	2.00	0.00	[2, 2]
3253	genus	Halomonas	3403	2	4	6		5.0	5.00	1.00	[4, 6]
3254	genus	Sulfolobus	3441	17	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
